ID,Jogador,Time,Idade,Jogos,Minutos,Roubadas_de_bola,Desarmes,Faltas_cometidas,Dribles_sofridos,Gols,Assistências,Chutes,Passes_chaves,Dribles_realizados,Faltas_sofridas,Impedimentos,Perdas_de_bola,Nota
247,Lucas Silva,Gremio,27,16(9),1333,1.3,0.9,0.9,0.4,1,0,0.9,0.2,0.3,1.3,0,0.4,6.55
248,Dudu Santos,Atletico GO,23,25(2),2157,1.7,1.1,1.1,1,0,0,0.6,0.8,0.6,1,0.1,0.6,6.55
249,Juan Pintado,Goias,23,8(6),802,2.5,1,1.2,1.2,0,0,0.2,0.2,1.4,0.8,0.1,1.1,6.55
250,Marlon Freitas,Atletico GO,25,23,1982,1,1.2,1.2,1,0,2,1.5,1.3,0.3,0.7,0,0.6,6.55
251,Mayke,Palmeiras,28,11(4),907,1.4,1.6,0.9,0.5,0,0,0.1,0.5,0.4,0.7,0.1,0.2,6.54
252,Luiz Henrique,Fluminense,19,5(13),631,0.8,0.4,0.6,0.6,1,1,0.8,0.3,1.7,0.2,0.2,1.1,6.54
253,Ronaldo,Bahia,24,14(3),1245,2.5,0.9,1.7,1.5,0,1,0.6,0.4,0.4,0.8,0,0.5,6.54
254,Leandro Barcia,Sport Recife,28,10(6),1028,1.6,0.4,1.1,2.1,3,0,1.2,0.6,0.4,1.3,0.4,0.6,6.54
255,Bruno Praxedes,Internacional,18,10(4),699,1.3,0.5,1.7,0.9,1,0,0.8,0.6,0.7,0.7,0.1,1.4,6.54
256,Geuvânio,Athletico Paranaense,28,5(7),469,0.4,0.3,1.1,0.3,1,1,1.3,0.5,1.1,1.6,0.1,1.3,6.54
257,Fabinho,Athletico Paranaense,21,6(7),700,0.8,0.2,0.3,0.5,1,0,1.2,0.9,1.4,0.3,0.2,0.8,6.54
258,Caio Alexandre,Botafogo RJ,21,27(1),2205,1.5,0.5,1.6,1.5,4,0,1.2,0.9,0.6,1.8,0.1,0.7,6.53
259,Léo,Sao Paulo,24,14(4),1229,0.6,0.9,0.6,0.2,0,1,0.3,0.2,1,1,0,0.3,6.53
260,Khelven,Athletico Paranaense,19,7(7),698,1.4,0.7,1.4,0.5,0,0,0.2,0.4,0.6,0.2,0,0.4,6.52
261,Luciano,Sport Recife,21,8(8),875,0.6,1.4,0.6,1.3,0,2,0.2,0.8,0.4,0.1,0,0.1,6.52
262,Clayson,Bahia,25,6(15),738,0.5,0.2,0.8,0.5,3,1,1.1,1,1.1,0.8,0.3,0.5,6.52
263,Fabinho,Ceara,34,20(5),1775,1.1,1.7,0.4,0.9,0,0,0.4,0.2,0.5,0.6,0,0.4,6.52
264,Betinho,Sport Recife,28,11(6),1031,2.2,0.9,1.8,1.8,0,1,0.6,0.6,0.4,1.2,0,0.4,6.51
265,Miranda,Vasco da Gama,21,14(4),1362,1.7,1.6,1.1,0.6,0,0,0.1,0.1,0,0.6,0,0.2,6.51
266,Hugo Moura,Coritiba,23,17(3),1553,1.6,1,1.8,1.3,1,0,0.6,0.4,0.5,1.2,0,0.4,6.51
267,Rodriguinho,Bahia,32,15(4),1141,0.5,0.3,0.8,0.9,4,1,1.6,0.6,1,1.6,0.2,1.5,6.51
268,Lucas Fonseca,Bahia,35,12,1029,0.8,1.2,0.8,0.6,0,0,0.3,0.1,0.1,0.4,0,0.2,6.51
269,Xavier,Corinthians,20,8(5),722,0.9,0.9,1.6,0.5,0,1,0.1,0.3,0.5,0.5,0,0.5,6.50
270,Ronald,Fortaleza,23,11(10),1023,1.5,0.8,1.1,0.9,0,1,0.5,0.5,0.9,0.9,0,0.7,6.50
271,Kaio Jorge,Santos FC,18,19(5),1604,0.4,0.1,1.4,0.6,2,1,1.1,0.5,0.7,1.5,0.1,0.5,6.50
272,Juninho,Bahia,25,23,2100,1,1.3,0.2,0.5,2,0,0.6,0.2,0.2,0.4,0,0.1,6.49
273,Paulinho Bóia,Sao Paulo,22,5(7),487,0.9,0.3,0.8,0.8,0,0,1.2,0.9,1.1,1.8,0.3,1,6.49
274,Yago Pikachu,Vasco da Gama,28,16(4),1371,1.2,1.2,0.9,0.8,1,0,0.9,0.7,0.4,1.7,0.2,0.5,6.49
275,Arthur Gomes,Santos FC,22,11(6),863,0.5,0.7,1,0.7,1,0,0.8,0.7,1.3,0.7,0.1,0.9,6.49
276,Tomás Cuello,Red Bull Bragantino,20,7(5),606,1.3,0.7,1.3,1.1,0,0,1.5,0.6,0.7,0.6,0,0.3,6.49
277,Yago Felipe,Fluminense,25,13(8),1168,1.7,0.9,1.5,1.8,2,0,0.8,0.4,0.3,1.3,0.1,0.7,6.49
278,Chico,Atletico GO,29,24(4),1973,0.8,0.2,1.3,0.6,1,3,1.4,1.4,0.4,2,0,0.9,6.48
279,Gustavo Mosquito,Corinthians,23,8(11),784,0.4,0.2,0.6,0.3,2,2,0.8,0.5,0.8,1.4,0.1,0.7,6.48
280,Lucas Braga,Santos FC,24,17(6),1520,0.7,0.3,1.3,0.5,1,1,0.5,0.3,1.2,1.6,0.1,0.9,6.48
281,Hernanes,Sao Paulo,35,4(13),492,0.5,0.3,0.9,0.2,3,0,1.3,0.4,0.6,0.9,0,0.7,6.47
282,Éverton,Gremio,32,5(7),523,1,0.3,1.4,0.8,0,1,0.5,1.1,0.3,1.1,0.3,0.3,6.47
283,Lucas Oliveira,Atletico GO,24,8(6),792,0.3,1,0.9,0.2,2,0,0.1,0.1,0.3,0.5,0,0.1,6.47
284,Cleiton,Red Bull Bragantino,23,24,2160,0,0.1,0,0,0,0,0,0,0,0.1,0,0,6.47
285,Ganso,Fluminense,31,4(15),564,0.9,0.2,0.4,0.3,1,2,0.5,0.9,0.6,0.5,0,0.6,6.46
286,Wellington Paulista,Fortaleza,36,17(10),1469,0.2,0.2,1,0.3,7,1,1.2,0.4,0.1,1.1,0.2,0.5,6.46
287,Caio Paulista,Fluminense,22,3(14),517,0.5,0.4,0.6,0.6,2,1,0.8,0.5,1,0.8,0.2,0.8,6.46
288,Matheuzinho,Atletico GO,27,3(14),482,0.6,0.4,0.4,0.5,1,1,1.4,0.8,0.5,0.6,0.1,0.3,6.46
289,Marrony,Atletico MG,21,7(17),730,0.3,0,0.8,0.2,4,1,1.4,0.3,0.7,0.5,0,0.2,6.46
290,Breno,Goias,20,24(1),1952,2,1.2,1.9,2,0,0,0.4,0.4,0.8,1.4,0,1,6.45
291,Guilherme Santos,Botafogo RJ,32,8(4),731,1,1,1.4,0.3,0,1,0.6,0.6,0.8,0.8,0.1,0.4,6.45
